# Master per-run downstream results: one row per (method, seed).
# val_bpb/train_bpb (6-dec from run logs), core (DCLM CORE = centered mean of 22 tasks),
# then the 22 per-task CENTERED accuracies. All paper downstream tables derive from this.
method	seed	val_bpb	train_bpb	core	hellaswag_zeroshot	jeopardy	bigbench_qa_wikidata	arc_easy	arc_challenge	copa	commonsense_qa	piqa	openbook_qa	lambada_openai	hellaswag	winograd	winogrande	bigbench_dyck_languages	agi_eval_lsat_ar	bigbench_cs_algorithms	bigbench_operators	bigbench_repeat_copy_logic	squad	coqa	boolq	bigbench_language_identification
bpe_init_f1.15	43	0.712600	0.714500	0.278370	0.405563	0.109117	0.483047	0.585297	0.210466	0.400000	0.025389	0.492927	0.200000	0.423443	0.403970	0.413919	0.136543	0.171000	0.092391	0.375758	0.171429	0.062500	0.442006	0.339346	-0.006760	0.186799
bpe_init_f1.15	44	0.712500	0.714200	0.253964	0.400916	0.113368	0.477191	0.566218	0.186576	0.420000	-0.006347	0.486398	0.205333	0.425965	0.405430	0.304029	0.103394	0.150000	0.092391	0.374242	0.171429	0.000000	0.464711	0.337592	-0.268308	0.176678
bpe_init_f1.15	45	0.712319	0.701767	0.257812	0.399588	0.111479	0.471483	0.588103	0.191126	0.320000	0.069410	0.489663	0.248000	0.428488	0.399854	0.347985	0.131807	0.155000	0.119565	0.376515	0.190476	0.000000	0.447871	0.328197	-0.313375	0.170627
bpe_init_f1.15	46	0.711898	0.701356	0.274030	0.407555	0.121398	0.456326	0.590909	0.183163	0.340000	0.127764	0.484222	0.248000	0.439744	0.414858	0.384615	0.158642	0.146000	0.152174	0.425758	0.204762	0.031250	0.466698	0.338970	-0.277966	0.183828
bpe_init_f1.15	47	0.711969	0.701447	0.271827	0.399456	0.117619	0.476945	0.592031	0.203641	0.380000	0.040745	0.509249	0.226667	0.429459	0.407024	0.311355	0.128650	0.136000	0.054348	0.435606	0.171429	0.031250	0.466698	0.320807	-0.039755	0.180968
bpe_init_f1.15	48	0.712333	0.701835	0.268700	0.401182	0.110534	0.467398	0.583053	0.195677	0.320000	0.077600	0.487486	0.218667	0.435669	0.404236	0.318681	0.134964	0.135000	0.125000	0.418182	0.152381	0.000000	0.480889	0.342353	-0.079189	0.181628
bpe_init_f1.15	49	0.712054	0.701532	0.253701	0.406360	0.101559	0.476158	0.585859	0.188851	0.340000	0.010033	0.497280	0.240000	0.432564	0.408219	0.318681	0.123915	0.176000	0.059783	0.396970	0.180952	0.031250	0.464238	0.328072	-0.361661	0.176348
bpe_init_f1.15	50	0.712703	0.702200	0.267067	0.406094	0.109589	0.483392	0.589226	0.208191	0.460000	0.082719	0.505985	0.197333	0.435086	0.407024	0.296703	0.111287	0.157000	0.054348	0.371970	0.142857	0.031250	0.453548	0.336966	-0.142765	0.177668
bpe_init_f1.15	51	0.712057	0.701630	0.260786	0.398261	0.109589	0.475026	0.569024	0.197952	0.320000	0.036650	0.485310	0.224000	0.428682	0.405829	0.399267	0.109708	0.157000	0.059783	0.368182	0.185714	0.000000	0.449858	0.336214	-0.150813	0.172057
bpe_init_f1.15	52	0.712469	0.702016	0.272882	0.402111	0.118564	0.463560	0.581369	0.197952	0.400000	0.049959	0.475517	0.229333	0.441490	0.407422	0.377289	0.144436	0.155000	0.070652	0.391667	0.176190	0.031250	0.455061	0.342227	-0.096089	0.188449
