method	arm	variant	trainer	seed	val_bpb_true	train_bpb_true	val_bpb	train_bpb	byte_factor	core	depth	vocab_size	tokenizer_id	log	task_agi_eval_lsat_ar	task_arc_challenge	task_arc_easy	task_bigbench_cs_algorithms	task_bigbench_dyck_languages	task_bigbench_language_identification	task_bigbench_operators	task_bigbench_qa_wikidata	task_bigbench_repeat_copy_logic	task_boolq	task_commonsense_qa	task_copa	task_coqa	task_hellaswag	task_hellaswag_zeroshot	task_jeopardy	task_lambada_openai	task_openbook_qa	task_piqa	task_squad	task_winograd	task_winogrande
bnd_wpd_bpe	bnd_wpd	n32	bpe	0	0.84387004206165	0.8419847036895161	1.00172	0.999482	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s0_n32	bnd_wpd_bpe_d12_s0_n32.log																						
bnd_wpd_bpe	bnd_wpd	n32	bpe	1	0.8440317869085889	0.8409737983961466	1.001912	0.998282	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s1_n32	bnd_wpd_bpe_d12_s1_n32.log																						
bnd_wpd_bpe	bnd_wpd	n32	bpe	2	0.8436863942666878	0.8416519473637819	1.001502	0.999087	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s2_n32	bnd_wpd_bpe_d12_s2_n32.log																						
plain_bpe	plain	n32	bpe	0	0.8487171679238336	0.8467479563787593	0.848195	0.846227	1.0006156224969889	0.1496	12	34686	plain_bpe_d12_s0_n32	plain_bpe_d12_s0_n32.log	0.038043	0.03413	0.386644	0.380303	0.16	0.179098	0.119048	0.286551	0.0	-0.218413	0.128788	0.18	0.214706	0.144925	0.154617	0.017478	0.292257	0.072	0.341676	0.162725	0.172161	0.044988
plain_bpe	plain	n32	bpe	1	0.8487712011674483	0.8458023746154997	0.848249	0.845282	1.0006156224969889	0.1504	12	34686	plain_bpe_d12_s1_n32	plain_bpe_d12_s1_n32.log	0.021739	0.027304	0.358586	0.428788	0.146	0.185369	0.133333	0.299542	0.0	-0.21278	0.098075	0.2	0.197044	0.143995	0.151165	0.01606	0.294198	0.085333	0.348204	0.159981	0.179487	0.046567
plain_bpe	plain	n32	bpe	2	0.8490173526105825	0.8472312537244254	0.848495	0.84671	1.0006156224969889	0.1422	12	34686	plain_bpe_d12_s2_n32	plain_bpe_d12_s2_n32.log	0.043478	0.007964	0.367565	0.390909	0.144	0.177668	0.109524	0.278087	0.0	-0.273137	0.040745	0.18	0.20932	0.143066	0.152626	0.007558	0.291287	0.106667	0.34494	0.226868	0.142857	0.035517
